"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",64212,11
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",15433,1
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",12205,3
"Brandon Lewis ","@BrandonLewis","Conservative","Great Yarmouth",66894,-6
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",4743135,-821
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",17151,-1
"Bob Blackman ","@BobBlackman","Conservative","Harrow East",36420,6
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",17691,-2
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",42358,-5
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",14863,4
"Bernard Jenkin ","@bernardjenkin","Conservative","Harwich and North Essex",38932,-17
"Ben Wallace ","@BWallaceMP","Conservative","Wyre and Preston North",95907,15
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",8231,0
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",9039,2
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",10005,-2
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",81124,9
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",35018,-7
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",67149,12
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",24220,5
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",98819,-5
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",28608,6
"Bambos Charalambous","@BambosMP","Labour","Enfield, Southgate",13760,0
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",44814,-3
"Anum Qaisar","@AnumSNP","Scottish National Party","Airdrie and Shotts",22819,2
"Antony Higginbotham","@antony_hig","Conservative","Burnley",5206,0
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",10528,0
"Anthony Browne","@AnthonyBrowneMP","Conservative","South Cambridgeshire",8298,-3
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",85218,12
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",35688,5
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",14761,-1
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",22471,-3
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",20498,-2
"Anna Firth","@Anna_Firth","Conservative","Southend West",13137,-1
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",47669,9
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",15812,0
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",668143,348
"Angela Eagle ","@angelaeagle","Labour","Wallasey",86248,19
"Angela Crawley ","@AngelaCrawley30","Scottish National Party","Lanark and Hamilton East",14133,2
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",26737,-3
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",54084,0
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",6971,3
"Andrew Western","@AndrewHWestern","Labour","Stretford and Urmston",8851,6
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",28901,0
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",23104,1
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",23518,-2
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",5551,0
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",16344,0
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",53613,8
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",8300,7
"Andrew Bridgen ","@ABridgen","Reclaim","North West Leicestershire",183110,106
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",26836,5
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",128361,-12
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",70502,20
